21770 - 2019-07-10 13:54:31,813 -<module> - INFO -  starting

21770 - 2019-07-10 13:54:31,813 -main - DEBUG -  Entered main method

21770 - 2019-07-10 13:54:31,814 -serve_forever - DEBUG -  Serve_forever reached

21770 - 2019-07-10 13:54:32,816 -serve_forever - INFO -  Running report ...

21770 - 2019-07-10 13:54:33,817 -serve_forever - INFO -  Running report ...

21770 - 2019-07-10 13:54:34,819 -serve_forever - INFO -  Running report ...

21770 - 2019-07-10 13:54:35,821 -serve_forever - INFO -  Running report ...

21770 - 2019-07-10 13:54:36,233 -on_accept - INFO -  accepted connection from ('127.0.0.1', 55996)

21770 - 2019-07-10 13:54:36,821 -serve_forever - INFO -  Running report ...

21770 - 2019-07-10 13:54:36,821 -serve_forever - INFO -  Num active peers = 1

21770 - 2019-07-10 13:54:37,821 -serve_forever - INFO -  Running report ...

21770 - 2019-07-10 13:54:37,821 -serve_forever - INFO -  Num active peers = 1

21770 - 2019-07-10 13:54:38,821 -serve_forever - INFO -  Running report ...

21770 - 2019-07-10 13:54:38,821 -serve_forever - INFO -  Num active peers = 1

21770 - 2019-07-10 13:54:39,821 -serve_forever - INFO -  Running report ...

21770 - 2019-07-10 13:54:39,821 -serve_forever - INFO -  Num active peers = 1

21770 - 2019-07-10 13:54:40,002 -on_read - INFO -  Data received from ('127.0.0.1', 55996): b'Shut off server'

21770 - 2019-07-10 13:54:40,003 -serve_forever - DEBUG -  Flag successfully changed, exiting serve_forever

21770 - 2019-07-10 13:54:40,003 -main - INFO -  Program closing

