3896 - 2019-07-12 16:51:45,241 -<module> - INFO -  starting

3896 - 2019-07-12 16:51:45,241 -main - DEBUG -  Entered main method

3896 - 2019-07-12 16:51:45,242 -serve_forever - DEBUG -  Serve_forever reached

3896 - 2019-07-12 16:51:46,244 -serve_forever - INFO -  Running report ...

3896 - 2019-07-12 16:51:47,246 -serve_forever - INFO -  Running report ...

3896 - 2019-07-12 16:51:48,248 -serve_forever - INFO -  Running report ...

3896 - 2019-07-12 16:51:49,249 -serve_forever - INFO -  Running report ...

3896 - 2019-07-12 16:51:50,252 -serve_forever - INFO -  Running report ...

3896 - 2019-07-12 16:51:51,253 -serve_forever - INFO -  Running report ...

3896 - 2019-07-12 16:51:52,255 -serve_forever - INFO -  Running report ...

3896 - 2019-07-12 16:51:53,258 -serve_forever - INFO -  Running report ...

3896 - 2019-07-12 16:51:54,260 -serve_forever - INFO -  Running report ...

3896 - 2019-07-12 16:51:55,262 -serve_forever - INFO -  Running report ...

3896 - 2019-07-12 16:51:56,264 -serve_forever - INFO -  Running report ...

3896 - 2019-07-12 16:51:57,266 -serve_forever - INFO -  Running report ...

3896 - 2019-07-12 16:51:58,268 -serve_forever - INFO -  Running report ...

3896 - 2019-07-12 16:51:59,270 -serve_forever - INFO -  Running report ...

3896 - 2019-07-12 16:52:00,272 -serve_forever - INFO -  Running report ...

3896 - 2019-07-12 16:52:01,274 -serve_forever - INFO -  Running report ...

3896 - 2019-07-12 16:52:02,276 -serve_forever - INFO -  Running report ...

3896 - 2019-07-12 16:52:03,278 -serve_forever - INFO -  Running report ...

3896 - 2019-07-12 16:52:04,280 -serve_forever - INFO -  Running report ...

3896 - 2019-07-12 16:52:05,282 -serve_forever - INFO -  Running report ...

3896 - 2019-07-12 16:52:06,284 -serve_forever - INFO -  Running report ...

3896 - 2019-07-12 16:52:07,286 -serve_forever - INFO -  Running report ...

3896 - 2019-07-12 16:52:08,288 -serve_forever - INFO -  Running report ...

